bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-23 13:48:00+00:00,2020-03-23 07:48:00,20200323  07:48:00,224.26,225.2,223.84,224.62,9179,5298,224.607,22.0,9.0,13.0,5.0,4.0,1.0,0.0454545454545454,0.1111111111111111,0.0018286427902411,0.0020968101717599,-0.000400676698424,0.0048526400142463,7
2020-03-23 14:32:00+00:00,2020-03-23 08:32:00,20200323  08:32:00,226.71,227.49,226.57,226.59,3955,2653,227.03,20.0,8.0,12.0,5.0,3.0,2.0,0.1,0.25,-0.0003970354685018,0.0009718602288288,-0.0010150492078202,-0.0078555982170439,8
2020-03-23 15:06:00+00:00,2020-03-23 09:06:00,20200323  09:06:00,224.1,224.65,223.75,223.87,3220,2021,224.249,16.0,6.0,10.0,3.0,3.0,0.0,0.0,0.0,-0.0009817484046588,0.0012522921418667,-0.0013847322106579,-0.0018314200205475,9
2020-03-23 15:44:00+00:00,2020-03-23 09:44:00,20200323  09:44:00,218.85,218.88,218.5,218.63,8407,4890,218.668,23.0,8.0,15.0,1.0,7.0,-6.0,-0.2608695652173913,-0.75,-0.00100525474069,-0.0065885132679026,-0.000869048163564,0.002195490097425,9
2020-03-23 16:37:00+00:00,2020-03-23 10:37:00,20200323  10:37:00,222.22,222.78,222.11,222.71,2528,1441,222.514,19.0,10.0,9.0,7.0,3.0,4.0,0.2105263157894736,0.4,0.0022050220502205,0.0045557059088858,0.001706254770778,0.0099681199766512,10
2020-03-23 17:20:00+00:00,2020-03-23 11:20:00,20200323  11:20:00,227.86,227.89,227.43,227.43,1147,864,227.643,22.0,9.0,13.0,2.0,7.0,-5.0,-0.2272727272727272,-0.5555555555555556,-0.002149877149877,-0.0010980323260716,0.0014949654838851,-0.0047047443169326,11
2020-03-23 18:05:00+00:00,2020-03-23 12:05:00,20200323  12:05:00,222.19,223.05,221.79,222.8,4925,2371,222.372,22.0,7.0,15.0,2.0,5.0,-3.0,-0.1363636363636363,-0.4285714285714285,0.0027002700270029,0.0022943002384274,0.0024685816876122,-0.0042190305206463,12
2020-03-23 18:36:00+00:00,2020-03-23 12:36:00,20200323  12:36:00,221.97,222.38,221.73,221.74,1913,1011,222.093,16.0,8.0,8.0,2.0,6.0,-4.0,-0.25,-0.5,-0.0010361760598278,-0.0035053028941218,0.0027058717416794,0.0050509605844684,12
2020-03-23 19:21:00+00:00,2020-03-23 13:21:00,20200323  13:21:00,220.7,221.08,220.56,220.82,6661,2288,220.9,19.0,9.0,10.0,2.0,7.0,-5.0,-0.2631578947368421,-0.5555555555555556,0.0004530627038781,-0.0017179023508137,-0.0029888597047368,-0.0042115750384928,13
2020-03-23 19:55:00+00:00,2020-03-23 13:55:00,20200323  13:55:00,224.68,224.85,223.56,224.84,15662,7756,224.31,24.0,9.0,15.0,2.0,7.0,-5.0,-0.2083333333333333,-0.5555555555555556,0.0007121239095602,0.0123823675086676,-0.0009339975093399,0.0358032378580324,13
